run,candidate_idx,candidate_name,duration_ns,cpu_cycles,heap_allocs,heap_bytes,system
0,0,Marcus,2228800,22292,79,29880,sequential
0,1,Trey,2879000,28794,77,29824,sequential
0,2,Will,2789500,27898,77,29824,sequential
0,3,George,2485500,24859,77,29824,sequential
0,4,Jess,2616800,26173,77,29824,sequential
1,0,Marcus,2228900,22293,77,29824,sequential
1,1,Trey,2339300,23399,77,29824,sequential
1,2,Will,3269100,32695,77,29824,sequential
1,3,George,2755000,27555,77,29824,sequential
1,4,Jess,2450000,24504,77,29824,sequential
2,0,Marcus,2747700,27480,77,29824,sequential
2,1,Trey,2500100,25005,77,29824,sequential
2,2,Will,2667400,26678,77,29824,sequential
2,3,George,2682500,26830,77,29824,sequential
2,4,Jess,2818800,28193,77,29824,sequential
3,0,Marcus,2765700,27661,77,29824,sequential
3,1,Trey,2254300,22547,77,29824,sequential
3,2,Will,2494700,24952,77,29824,sequential
3,3,George,2553200,25537,77,29824,sequential
3,4,Jess,2510300,25108,77,29824,sequential
4,0,Marcus,2640700,26413,77,29824,sequential
4,1,Trey,2546000,25464,77,29824,sequential
4,2,Will,2308900,23092,77,29824,sequential
4,3,George,2750000,27504,77,29824,sequential
4,4,Jess,2802900,28034,77,29824,sequential
5,0,Marcus,2433000,24335,77,29824,sequential
5,1,Trey,2352900,23532,77,29824,sequential
5,2,Will,3215700,32161,77,29824,sequential
5,3,George,2471800,24722,77,29824,sequential
5,4,Jess,2377900,23783,77,29824,sequential
6,0,Marcus,2324900,23251,77,29824,sequential
6,1,Trey,2380000,23805,77,29824,sequential
6,2,Will,2529800,25302,77,29824,sequential
6,3,George,2253000,22533,77,29824,sequential
6,4,Jess,2376800,23773,77,29824,sequential
7,0,Marcus,2244800,22450,77,29824,sequential
7,1,Trey,2742000,27425,77,29824,sequential
7,2,Will,2512900,25134,77,29824,sequential
7,3,George,2394500,23949,77,29824,sequential
7,4,Jess,2473200,24735,77,29824,sequential
8,0,Marcus,2329400,23296,77,29824,sequential
8,1,Trey,2729900,27303,77,29824,sequential
8,2,Will,2334700,23350,77,29824,sequential
8,3,George,2269100,22694,77,29824,sequential
8,4,Jess,2252800,22531,77,29824,sequential
9,0,Marcus,2214300,22146,77,29824,sequential
9,1,Trey,2551900,25522,77,29824,sequential
9,2,Will,2416600,24170,77,29824,sequential
9,3,George,2603400,26039,77,29824,sequential
9,4,Jess,2706100,27064,77,29824,sequential
10,0,Marcus,2627200,26276,77,29824,sequential
10,1,Trey,2618000,26185,77,29824,sequential
10,2,Will,2306100,23065,77,29824,sequential
10,3,George,2776000,27764,77,29824,sequential
10,4,Jess,2401100,24015,77,29824,sequential
11,0,Marcus,2892900,28934,77,29824,sequential
11,1,Trey,2750800,27511,77,29824,sequential
11,2,Will,2329000,23294,77,29824,sequential
11,3,George,2407500,24079,77,29824,sequential
11,4,Jess,2594200,25948,77,29824,sequential
12,0,Marcus,2359500,23598,77,29824,sequential
12,1,Trey,2233100,22335,77,29824,sequential
12,2,Will,2507600,25080,77,29824,sequential
12,3,George,2443000,24436,77,29824,sequential
12,4,Jess,2670000,26703,77,29824,sequential
13,0,Marcus,2583600,25841,77,29824,sequential
13,1,Trey,2677400,26778,77,29824,sequential
13,2,Will,2637800,26381,77,29824,sequential
13,3,George,2470400,24707,77,29824,sequential
13,4,Jess,2946400,29470,77,29824,sequential
14,0,Marcus,2333100,23335,77,29824,sequential
14,1,Trey,2250600,22509,77,29824,sequential
14,2,Will,3125800,31262,77,29824,sequential
14,3,George,2833400,28340,77,29824,sequential
14,4,Jess,2610800,26113,77,29824,sequential
15,0,Marcus,2616600,26171,77,29824,sequential
15,1,Trey,2252500,22529,77,29824,sequential
15,2,Will,2525300,25257,77,29824,sequential
15,3,George,2306700,23070,77,29824,sequential
15,4,Jess,2323800,23241,77,29824,sequential
16,0,Marcus,2458600,24589,77,29824,sequential
16,1,Trey,2821000,28215,77,29824,sequential
16,2,Will,2673800,26744,77,29824,sequential
16,3,George,2821300,28217,77,29824,sequential
16,4,Jess,2743600,27441,77,29824,sequential
17,0,Marcus,2615600,26160,77,29824,sequential
17,1,Trey,2216600,22170,77,29824,sequential
17,2,Will,2402400,24028,77,29824,sequential
17,3,George,2629900,26304,77,29824,sequential
17,4,Jess,2603100,26036,77,29824,sequential
18,0,Marcus,2375000,23754,77,29824,sequential
18,1,Trey,2360900,23614,77,29824,sequential
18,2,Will,2390900,23912,77,29824,sequential
18,3,George,2762800,27633,77,29824,sequential
18,4,Jess,2697800,26982,77,29824,sequential
19,0,Marcus,2354200,23546,77,29824,sequential
19,1,Trey,2339500,23400,77,29824,sequential
19,2,Will,2709400,27100,77,29824,sequential
19,3,George,2836900,28374,77,29824,sequential
19,4,Jess,2401700,24022,77,29824,sequential
20,0,Marcus,2547800,25482,77,29824,sequential
20,1,Trey,2740300,27406,77,29824,sequential
20,2,Will,2541700,25421,77,29824,sequential
20,3,George,2720100,27203,79,32136,sequential
20,4,Jess,2355000,23552,77,29824,sequential
21,0,Marcus,2684900,26854,77,29824,sequential
21,1,Trey,2691400,26917,77,29824,sequential
21,2,Will,2757900,27582,77,29824,sequential
21,3,George,2375100,23755,77,29824,sequential
21,4,Jess,2309300,23096,77,29824,sequential
22,0,Marcus,2254100,22545,77,29824,sequential
22,1,Trey,2648200,26487,77,29824,sequential
22,2,Will,2707500,27080,77,29824,sequential
22,3,George,2509900,25104,77,29824,sequential
22,4,Jess,2893200,28937,77,29824,sequential
23,0,Marcus,2674600,26750,77,29824,sequential
23,1,Trey,2558100,25585,77,29824,sequential
23,2,Will,2887200,28877,77,29824,sequential
23,3,George,2776600,27771,77,29824,sequential
23,4,Jess,2557600,25581,77,29824,sequential
24,0,Marcus,2298000,22984,77,29824,sequential
24,1,Trey,2522600,25228,77,29824,sequential
24,2,Will,2233000,22334,77,29824,sequential
24,3,George,2347600,23481,77,29824,sequential
24,4,Jess,2274600,22751,77,29824,sequential
25,0,Marcus,2249200,22495,77,29824,sequential
25,1,Trey,2492500,24929,77,29824,sequential
25,2,Will,2310500,23107,77,29824,sequential
25,3,George,2726100,27265,77,29824,sequential
25,4,Jess,2237900,22382,77,29824,sequential
26,0,Marcus,2558100,25584,77,29824,sequential
26,1,Trey,2660500,26609,77,29824,sequential
26,2,Will,2478500,24789,77,29824,sequential
26,3,George,2702300,27026,77,29824,sequential
26,4,Jess,2499600,25001,77,29824,sequential
27,0,Marcus,2543000,25435,77,29824,sequential
27,1,Trey,2892800,28932,77,29824,sequential
27,2,Will,2658800,26594,77,29824,sequential
27,3,George,3136600,31371,77,29824,sequential
27,4,Jess,2693800,26941,77,29824,sequential
28,0,Marcus,2251200,22516,77,29824,sequential
28,1,Trey,2741700,27424,77,29824,sequential
28,2,Will,2275100,22755,77,29824,sequential
28,3,George,2795600,27961,77,29824,sequential
28,4,Jess,2328200,23286,77,29824,sequential
29,0,Marcus,2411700,24121,77,29824,sequential
29,1,Trey,2667800,26684,77,29824,sequential
29,2,Will,2855700,28563,77,29824,sequential
29,3,George,2646600,26470,77,29824,sequential
29,4,Jess,2339400,23396,77,29824,sequential
30,0,Marcus,2615600,26159,77,29824,sequential
30,1,Trey,2362900,23634,77,29824,sequential
30,2,Will,2519500,25198,77,29824,sequential
30,3,George,2413100,24135,77,29824,sequential
30,4,Jess,2288900,22893,77,29824,sequential
31,0,Marcus,2583400,25838,77,29824,sequential
31,1,Trey,2436900,24373,77,29824,sequential
31,2,Will,2561600,25620,77,29824,sequential
31,3,George,2872300,28729,77,29824,sequential
31,4,Jess,2236400,22369,77,29824,sequential
32,0,Marcus,2273300,22736,77,29824,sequential
32,1,Trey,2661500,26618,77,29824,sequential
32,2,Will,2893700,28943,77,29824,sequential
32,3,George,2832700,28332,77,29824,sequential
32,4,Jess,2407700,24080,77,29824,sequential
33,0,Marcus,2722700,27230,77,29824,sequential
33,1,Trey,2742400,27427,77,29824,sequential
33,2,Will,2601100,26016,77,29824,sequential
33,3,George,2737000,27373,77,29824,sequential
33,4,Jess,2220400,22208,77,29824,sequential
34,0,Marcus,2292700,22930,77,29824,sequential
34,1,Trey,2290900,22913,77,29824,sequential
34,2,Will,2273100,22735,77,29824,sequential
34,3,George,2733000,27333,77,29824,sequential
34,4,Jess,2640200,26405,77,29824,sequential
35,0,Marcus,2775700,27761,77,29824,sequential
35,1,Trey,2555400,25558,77,29824,sequential
35,2,Will,2299800,23002,77,29824,sequential
35,3,George,2265200,22656,77,29824,sequential
35,4,Jess,2618000,26183,77,29824,sequential
36,0,Marcus,2400400,24008,77,29824,sequential
36,1,Trey,2237500,22379,77,29824,sequential
36,2,Will,2702300,27026,77,29824,sequential
36,3,George,2713800,27143,77,29824,sequential
36,4,Jess,2599300,25998,77,29824,sequential
37,0,Marcus,2404800,24052,77,29824,sequential
