metric,candidate,seq_mean,par_mean,sec_mean,par_vs_seq_%,sec_vs_seq_%,sec_vs_par_%
duration_ns,Marcus,2559335.11,2707532.71,2969432.3,5.790472666942005,16.023583171959064,9.672998188819658
duration_ns,Trey,2562043.68,2714588.78,2961607.98,5.954039784364629,15.595530361917941,9.099691335201062
duration_ns,Will,2559331.48,2705979.28,2963265.15,5.72992600395787,15.782780509541498,9.508050261197866
duration_ns,George,2561376.91,2708933.38,2970438.43,5.760826117543151,15.97037587099979,9.65343230404582
duration_ns,Jess,2558668.37,2717239.94,2955038.43,6.1974256554396625,15.491263527832643,8.7514719071883
cpu_cycles,Marcus,25597.6028,27084.7389,29717.2902,5.809669411699754,16.094035961836234,9.719684984668614
cpu_cycles,Trey,25624.7495,27152.805,29644.4758,5.963201708566941,15.686890129403992,9.176476610795827
cpu_cycles,Will,25597.5471,27066.4128,29654.1459,5.738306464528387,15.84760752330054,9.560679943520265
cpu_cycles,George,25617.9861,27097.3703,29738.2847,5.774787269480174,16.083616346407503,9.74601731002658
cpu_cycles,Jess,25590.9192,27178.9688,29579.8725,6.205519964284825,15.587377963351942,8.833682093192596
