run,candidate_idx,candidate_name,duration_ns,cpu_cycles,system
0,0,Marcus,2959100,29597,secure
0,1,Trey,2498100,24987,secure
0,2,Will,3423700,34243,secure
0,3,George,3141100,31416,secure
0,4,Jess,2738000,27385,secure
1,0,Marcus,2591300,25918,secure
1,1,Trey,2459800,24603,secure
1,2,Will,2707600,27081,secure
1,3,George,2457100,24575,secure
1,4,Jess,2631800,26323,secure
2,0,Marcus,3479700,34801,secure
2,1,Trey,3817900,38182,secure
2,2,Will,3205600,32061,secure
2,3,George,2587300,25877,secure
2,4,Jess,2546800,25473,secure
3,0,Marcus,2491100,24915,secure
3,1,Trey,2414200,24146,secure
3,2,Will,3319800,33204,secure
3,3,George,3270400,32709,secure
3,4,Jess,2684200,26846,secure
4,0,Marcus,2266800,22672,secure
4,1,Trey,3677300,36776,secure
4,2,Will,2651800,26522,secure
4,3,George,3353600,33540,secure
4,4,Jess,2363400,23640,secure
5,0,Marcus,2447400,24480,secure
5,1,Trey,2593900,25943,secure
5,2,Will,2635700,26360,secure
5,3,George,2369900,23703,secure
5,4,Jess,2637400,26379,secure
6,0,Marcus,3500100,35006,secure
6,1,Trey,2587800,25882,secure
6,2,Will,3134300,31348,secure
6,3,George,2986800,29872,secure
6,4,Jess,3619200,36196,secure
7,0,Marcus,3421700,34226,secure
7,1,Trey,2840900,28414,secure
7,2,Will,2522600,25231,secure
7,3,George,3219700,32201,secure
7,4,Jess,4467200,44675,secure
8,0,Marcus,2428400,24289,secure
8,1,Trey,3011000,30116,secure
8,2,Will,3487800,34883,secure
8,3,George,3581400,35817,secure
8,4,Jess,2651300,26517,secure
9,0,Marcus,2328400,23288,secure
9,1,Trey,2355800,23562,secure
9,2,Will,3060800,30612,secure
9,3,George,3401300,34017,secure
9,4,Jess,2320900,23214,secure
10,0,Marcus,3394300,33947,secure
10,1,Trey,3508300,35088,secure
10,2,Will,2513300,25137,secure
10,3,George,3577300,35777,secure
10,4,Jess,2581300,25818,secure
11,0,Marcus,2367100,23675,secure
11,1,Trey,4474600,44751,secure
11,2,Will,3890400,38907,secure
11,3,George,2491300,24918,secure
11,4,Jess,3225500,32259,secure
12,0,Marcus,2665100,26657,secure
12,1,Trey,2327500,23279,secure
12,2,Will,2304400,23048,secure
12,3,George,2311100,23115,secure
