metric,comparison,scope,n_a,n_b,mean_a,mean_b,t_stat,p_value,leakage
duration_ns,sequential vs parallel,all candidates pooled,25000,25000,2562006.728,2709905.176,-48.77065774042578,0.0,True
cpu_cycles,sequential vs parallel,all candidates pooled,25000,25000,25624.21752,27106.72692,-48.85908333797671,0.0,True
duration_ns,sequential vs secure,all candidates pooled,25000,25000,2562006.728,2939272.96,-98.86502556489287,0.0,True
cpu_cycles,sequential vs secure,all candidates pooled,25000,25000,25624.21752,29418.83568,-98.94771375558656,0.0,True
duration_ns,parallel vs secure,all candidates pooled,25000,25000,2709905.176,2939272.96,-51.2188027871431,0.0,True
cpu_cycles,parallel vs secure,all candidates pooled,25000,25000,27106.72692,29418.83568,-51.4319559514415,0.0,True
duration_ns,sequential vs parallel,candidate: Marcus,5000,5000,2566095.84,2711810.92,-21.28670548467647,1.3991323071858939e-97,True
cpu_cycles,sequential vs parallel,candidate: Marcus,5000,5000,25665.018,27124.752,-21.31497929212571,7.940753733237177e-98,True
duration_ns,sequential vs secure,candidate: Marcus,5000,5000,2566095.84,2955444.26,-45.34667712033348,0.0,True
cpu_cycles,sequential vs secure,candidate: Marcus,5000,5000,25665.018,29587.2302,-45.3775775011847,0.0,True
duration_ns,parallel vs secure,candidate: Marcus,5000,5000,2711810.92,2955444.26,-24.05196787644872,4.408757605692169e-124,True
cpu_cycles,parallel vs secure,candidate: Marcus,5000,5000,27124.752,29587.2302,-24.18917416264246,1.9989220845161267e-125,True
duration_ns,sequential vs parallel,candidate: Trey,5000,5000,2561524.98,2706620.54,-21.558078854065148,5.893174201354697e-100,True
cpu_cycles,sequential vs parallel,candidate: Trey,5000,5000,25619.4032,27072.9576,-21.587075386460363,3.2751589144412945e-100,True
duration_ns,sequential vs secure,candidate: Trey,5000,5000,2561524.98,2942949.98,-44.89104997514409,0.0,True
cpu_cycles,sequential vs secure,candidate: Trey,5000,5000,25619.4032,29453.6348,-44.97915158247726,0.0,True
duration_ns,parallel vs secure,candidate: Trey,5000,5000,2706620.54,2942949.98,-23.611073163673055,9.225653852632889e-120,True
cpu_cycles,parallel vs secure,candidate: Trey,5000,5000,27072.9576,29453.6348,-23.724526866269247,7.379277805219515e-121,True
duration_ns,sequential vs parallel,candidate: Will,5000,5000,2557241.7,2714320.52,-22.802090936550517,1.8746674749322225e-111,True
cpu_cycles,sequential vs parallel,candidate: Will,5000,5000,25576.662,27153.2714,-22.87191502275032,4.209159747306595e-112,True
duration_ns,sequential vs secure,candidate: Will,5000,5000,2557241.7,2934187.12,-44.28126635390583,0.0,True
cpu_cycles,sequential vs secure,candidate: Will,5000,5000,25576.662,29363.5926,-44.39057781909943,0.0,True
duration_ns,parallel vs secure,candidate: Will,5000,5000,2714320.52,2934187.12,-22.221716286667565,1.1553501025613574e-106,True
cpu_cycles,parallel vs secure,candidate: Will,5000,5000,27153.2714,29363.5926,-22.297428631996233,2.3343675825880033e-107,True
duration_ns,sequential vs parallel,candidate: George,5000,5000,2565937.78,2699664.82,-19.986298836795704,1.3934939222502412e-86,True
cpu_cycles,sequential vs parallel,candidate: George,5000,5000,25663.5834,27004.3918,-20.022359113905843,7.036647482464881e-87,True
duration_ns,sequential vs secure,candidate: George,5000,5000,2565937.78,2941410.18,-42.93064817711006,0.0,True
cpu_cycles,sequential vs secure,candidate: George,5000,5000,25663.5834,29437.1056,-43.02811377659435,0.0,True
duration_ns,parallel vs secure,candidate: George,5000,5000,2699664.82,2941410.18,-23.784607964325165,2.2340815826886164e-121,True
cpu_cycles,parallel vs secure,candidate: George,5000,5000,27004.3918,29437.1056,-23.87829711281622,2.7435687418121695e-122,True
duration_ns,sequential vs parallel,candidate: Jess,5000,5000,2559233.34,2717109.08,-23.402476991898396,8.181247895812924e-117,True
cpu_cycles,sequential vs parallel,candidate: Jess,5000,5000,25596.421,27178.2618,-23.437007913058086,3.862160462526839e-117,True
duration_ns,sequential vs secure,candidate: Jess,5000,5000,2559233.34,2922373.26,-43.685603309356985,0.0,True
cpu_cycles,sequential vs secure,candidate: Jess,5000,5000,25596.421,29252.6152,-43.53353219011141,0.0,True
duration_ns,parallel vs secure,candidate: Jess,5000,5000,2717109.08,2922373.26,-20.810650197697964,4.389245964618558e-94,True
cpu_cycles,parallel vs secure,candidate: Jess,5000,5000,27178.2618,29252.6152,-20.872947669602738,1.2947807339508554e-94,True
duration_ns,Marcus vs Trey,within-parallel,5000,5000,2711810.92,2706620.54,0.6012699501117273,0.5476738362638223,False
cpu_cycles,Marcus vs Trey,within-parallel,5000,5000,27124.752,27072.9576,0.5996878659271179,0.5487278699477784,False
duration_ns,Marcus vs Will,within-parallel,5000,5000,2711810.92,2714320.52,-0.2911135378040677,0.7709705274558802,False
cpu_cycles,Marcus vs Will,within-parallel,5000,5000,27124.752,27153.2714,-0.33060605106980157,0.7409490050761608,False
duration_ns,Marcus vs George,within-parallel,5000,5000,2711810.92,2699664.82,1.4151810755266936,0.15704658218256182,False
cpu_cycles,Marcus vs George,within-parallel,5000,5000,27124.752,27004.3918,1.4012816451241454,0.16116093096401735,False
duration_ns,Marcus vs Jess,within-parallel,5000,5000,2711810.92,2717109.08,-0.6129182133783978,0.5399443634604256,False
cpu_cycles,Marcus vs Jess,within-parallel,5000,5000,27124.752,27178.2618,-0.6186914943309283,0.5361337120798905,False
duration_ns,Trey vs Will,within-parallel,5000,5000,2706620.54,2714320.52,-0.9006636201794386,0.36778889106037177,False
cpu_cycles,Trey vs Will,within-parallel,5000,5000,27072.9576,27153.2714,-0.9388052827244253,0.34785340502682593,False
duration_ns,Trey vs George,within-parallel,5000,5000,2706620.54,2699664.82,0.8172684053148596,0.4137945351075633,False
cpu_cycles,Trey vs George,within-parallel,5000,5000,27072.9576,27004.3918,0.8050012993588257,0.4208380750412101,False
duration_ns,Trey vs Jess,within-parallel,5000,5000,2706620.54,2717109.08,-1.2234546095852334,0.22118687196084105,False
cpu_cycles,Trey vs Jess,within-parallel,5000,5000,27072.9576,27178.2618,-1.2276725203136731,0.2195988293457223,False
duration_ns,Will vs George,within-parallel,5000,5000,2714320.52,2699664.82,1.7243826519158658,0.08466969889003975,False
cpu_cycles,Will vs George,within-parallel,5000,5000,27153.2714,27004.3918,1.7501171168239489,0.080128783093598,False
duration_ns,Will vs Jess,within-parallel,5000,5000,2714320.52,2717109.08,-0.32572310008464966,0.7446406819640491,False
cpu_cycles,Will vs Jess,within-parallel,5000,5000,27153.2714,27178.2618,-0.29170599050773927,0.7705174807008092,False
duration_ns,George vs Jess,within-parallel,5000,5000,2699664.82,2717109.08,-2.0467522109408773,0.04070851627281184,False
cpu_cycles,George vs Jess,within-parallel,5000,5000,27004.3918,27178.2618,-2.0384266403180114,0.041533546509608305,False
duration_ns,Marcus vs Trey,within-secure,5000,5000,2955444.26,2942949.98,1.1031706483572217,0.2699796194076013,False
cpu_cycles,Marcus vs Trey,within-secure,5000,5000,29587.2302,29453.6348,1.1729155489630199,0.24085762203144453,False
duration_ns,Marcus vs Will,within-secure,5000,5000,2955444.26,2934187.12,1.892346463085933,0.05847371636900234,False
cpu_cycles,Marcus vs Will,within-secure,5000,5000,29587.2302,29363.5926,1.980685445794601,0.047653948301242276,False
duration_ns,Marcus vs George,within-secure,5000,5000,2955444.26,2941410.18,1.2203615814434319,0.2223566295079214,False
cpu_cycles,Marcus vs George,within-secure,5000,5000,29587.2302,29437.1056,1.298562074763772,0.19412421871765284,False
duration_ns,Marcus vs Jess,within-secure,5000,5000,2955444.26,2922373.26,2.955933011631053,0.0031245349484912716,False
cpu_cycles,Marcus vs Jess,within-secure,5000,5000,29587.2302,29252.6152,2.9622962847833336,0.003060730339882509,False
duration_ns,Trey vs Will,within-secure,5000,5000,2942949.98,2934187.12,0.7838001925557265,0.43317593365862817,False
cpu_cycles,Trey vs Will,within-secure,5000,5000,29453.6348,29363.5926,0.8028805130978843,0.42206289160329324,False
duration_ns,Trey vs George,within-secure,5000,5000,2942949.98,2941410.18,0.1345047189670203,0.8930061897236324,False
cpu_cycles,Trey vs George,within-secure,5000,5000,29453.6348,29437.1056,0.1438999137298298,0.8855824065638517,False
duration_ns,Trey vs Jess,within-secure,5000,5000,2942949.98,2922373.26,1.84800811293691,0.06463070214772185,False
cpu_cycles,Trey vs Jess,within-secure,5000,5000,29453.6348,29252.6152,1.7916495882936379,0.07321935485427919,False
duration_ns,Will vs George,within-secure,5000,5000,2934187.12,2941410.18,-0.6360372121000808,0.5247667591772908,False
cpu_cycles,Will vs George,within-secure,5000,5000,29363.5926,29437.1056,-0.6455118158762876,0.5186104105373747,False
duration_ns,Will vs Jess,within-secure,5000,5000,2934187.12,2922373.26,1.0700607971157794,0.28461777735800037,False
cpu_cycles,Will vs Jess,within-secure,5000,5000,29363.5926,29252.6152,0.9980717304005682,0.31826873176380704,False
duration_ns,George vs Jess,within-secure,5000,5000,2941410.18,2922373.26,1.6829511295618955,0.09241587037512551,False
cpu_cycles,George vs Jess,within-secure,5000,5000,29437.1056,29252.6152,1.6193078363284452,0.10541265433874902,False
